"","pressure"
"297",99713.8071899196
"298",99713.8071899196
"299",99713.8071899196
"300",80908.0466208698
"301",80908.0466208698
"302",100403.461770905
"303",90838.7146733401
"304",89461.8259660969
"305",88607.1930767934
"306",84380.7852109479
"307",98135.1271706467
"308",101108.964592916
"309",101108.964592916
"310",101108.964592916
"311",100893.302304178
"312",100893.302304178
"313",96311.2897930153
"314",96311.2897930153
"315",96311.2897930153
"316",97726.1369935894
"317",88456.4311124832
"318",98874.8017505527
"319",77706.859744427
"320",84132.4892629614
"321",93598.9124815554
"322",74806.1075439893
"323",92667.6807774431
"324",79565.6086696239
"325",87428.2204625956
"326",98416.3777546764
"327",93475.0625021408
"328",97924.6166245673
"329",97924.6166245673
"330",97924.6166245673
"331",95472.6639208816
"332",76589.4410371707
"333",98252.2357127539
"334",100929.220128908
"335",90629.9971106065
"336",95323.9417843184
"337",93396.3179928542
"338",98193.6673052379
"339",101132.950092415
"340",71702.6702234001
"341",97574.5783517454
"342",91921.4483865308
"343",88585.6429241208
"344",92768.2935532813
"345",97121.0439602257
"346",93666.5229985757
"347",93003.4007144817
"348",98792.3934581155
"349",75485.0690465292
"350",97469.7646721589
"351",93576.3844261276
"352",80478.4801660352
"353",92489.0317942561
"354",74085.4766449762
"355",90761.7734964563
"356",84723.1606498301
"357",100713.868395365
"358",99039.7853223701
"359",96727.0491275764
"360",90739.7999982094
"361",98346.0039985347
"362",98346.0039985347
"363",98346.0039985347
"364",98346.0039985347
"365",91224.2131994907
"366",78847.2467345008
"367",94050.3966455387
"368",85589.2617426215
"369",86758.7326816345
"370",97877.8861962012
"371",91268.3543877146
"372",94753.6807321615
"373",84983.2841273352
"374",94276.7990690366
"375",92958.5812419717
"376",73093.4232237151
"377",72569.3544513
"378",90487.4142268585
"379",93283.9190208621
"380",97458.1243375968
"381",97656.1631831396
"382",88477.955809953
"383",100010.600171106
"384",99334.9532534535
"385",68023.008184062
"386",86156.5883804521
"387",96069.4325493769
"388",90706.8478277062
"389",97527.9832328126
"390",97527.9832328126
"391",97527.9832328126
"392",95633.036281761
"393",97574.5783517454
"394",94084.3289145787
"395",NA
"396",86801.1160372553
"397",90115.3636890975
"398",94810.5822190801
"399",98158.5398324006
"400",98158.5398324006
"401",98158.5398324006
"402",98158.5398324006
"403",98158.5398324006
"404",98158.5398324006
"405",98158.5398324006
"406",98158.5398324006
"407",98158.5398324006
"408",98158.5398324006
"409",98158.5398324006
"410",98158.5398324006
"411",98158.5398324006
"412",98158.5398324006
"413",98158.5398324006
"414",98158.5398324006
"415",98158.5398324006
"416",98158.5398324006
"417",98158.5398324006
"418",98158.5398324006
"419",98158.5398324006
"420",98158.5398324006
"421",98158.5398324006
"422",98158.5398324006
"423",98158.5398324006
"424",98158.5398324006
"425",98158.5398324006
"426",98158.5398324006
"427",98158.5398324006
"428",98158.5398324006
"429",98158.5398324006
"430",98158.5398324006
"431",98158.5398324006
"432",98158.5398324006
"433",98158.5398324006
"434",98158.5398324006
"435",98158.5398324006
"436",98158.5398324006
"437",98158.5398324006
"438",98158.5398324006
"439",98158.5398324006
"440",98158.5398324006
"441",98158.5398324006
"442",98158.5398324006
"443",98158.5398324006
"444",98158.5398324006
"445",75712.4951241415
"446",99701.950321917
"447",99701.950321917
"448",99701.950321917
"449",99701.950321917
"450",99701.950321917
"451",99701.950321917
"452",100272.369313452
"453",100272.369313452
"454",100272.369313452
"455",100272.369313452
"456",100272.369313452
"457",100272.369313452
"458",100272.369313452
"459",100272.369313452
"460",100272.369313452
"461",100272.369313452
"462",96219.0956350575
"463",88413.3944377937
"464",87566.8879785167
"465",101180.934913316
"466",91832.6721736416
"467",88639.5262649492
"468",97237.1717617593
"469",96380.4823415641
"470",94605.8662669306
"471",101025.051615622
"472",89929.8034800292
"473",96380.4823415641
"474",92277.2484435408
"475",80458.5453686092
"476",94186.1852040856
"477",91533.564855389
"478",84795.9301464355
"479",101144.944569775
"480",100570.507389245
"481",100570.507389245
"482",100570.507389245
"483",100570.507389245
"484",100498.888876335
"485",88553.32565266
"486",88553.32565266
"487",88553.32565266
"488",88553.32565266
"489",88553.32565266
"490",101216.935625823
"491",88187.7299624829
"492",97539.630323095
"493",97539.630323095
"494",91478.2612803293
"495",91389.8318389096
"496",92065.8579365195
"497",96080.9383979173
"498",91036.8059562406
"499",95896.9786588116
"500",89646.6040547457
"501",94605.8662669306
"502",94605.8662669306
"503",94503.6425952826
"504",96472.8016804352
"505",86473.0831243372
"506",87002.6659946001
"507",90531.2665236179
"508",77522.9358754625
"509",88822.9281715213
"510",88822.9281715213
"511",73490.7977427244
"512",88822.9281715213
"513",88822.9281715213
"514",88822.9281715213
"515",88822.9281715213
"516",88822.9281715213
"517",88822.9281715213
"518",88822.9281715213
"519",88822.9281715213
"520",88822.9281715213
"521",88822.9281715213
"522",88822.9281715213
"523",88822.9281715213
"524",94163.5427604899
"525",76694.8413852214
"526",76694.8413852214
"527",76694.8413852214
"528",76694.8413852214
"529",76026.1115991992
"530",100427.311665882
"531",100427.311665882
"532",100749.734489422
"533",100439.238333505
"534",100439.238333505
"535",100439.238333505
"536",100439.238333505
"537",101144.944569775
"538",101061.007412439
"539",84795.9301464355
"540",88564.0970155804
"541",97016.6249789706
"542",97016.6249789706
"543",97971.3651168772
"544",93801.8626698797
"545",90465.4945293177
"546",91290.4314664475
"547",91290.4314664475
"548",97318.5281006643
"549",96023.4203113779
"550",96023.4203113779
"551",85515.9414174383
"552",99063.37258979
"553",75693.5217861342
"554",94924.4681997222
"555",89320.7332623879
"556",90805.7334188453
"557",90805.7334188453
"558",90805.7334188453
"559",94981.4527140262
"560",96900.7105235898
"561",89581.3530058056
"562",94435.5431825326
"563",93711.6186420857
"564",89646.6040547457
"565",83247.6153598683
"566",93655.2518337264
"567",95038.4649247104
"568",100678.012640599
"569",99275.8627571368
"570",94856.123327285
"571",94333.4685715569
"572",94254.1389879003
"573",91865.9551140504
"574",86019.7322781874
"575",100355.775739663
"576",91965.8625449811
"577",90487.4142268585
"578",92177.0671628372
"579",100451.166147996
"580",77823.2041222679
"581",96507.4398871074
"582",101204.934236072
"583",97458.1243375968
"584",97458.1243375968
"585",86409.7089832116
"586",86409.7089832116
"587",94844.7363900154
"588",94844.7363900154
"589",95015.6567162122
"590",95015.6567162122
"591",99879.9232619236
"592",99879.9232619236
"593",99879.9232619236
"594",90597.0772326335
"595",90597.0772326335
"596",90597.0772326335
"597",93903.4713006206
"598",93903.4713006206
"599",93903.4713006206
"600",93903.4713006206
"601",93903.4713006206
"602",93903.4713006206
"603",90619.0227419214
"604",84795.9301464355
"605",83032.6904462013
"606",92656.5070365115
"607",100046.263343961
"608",90586.1060918693
"609",91389.8318389096
"610",101288.968166879
"611",91954.7573766715
"612",90651.9490764629
"613",101192.933998598
"614",99607.1364701001
"615",92779.4782084748
"616",97574.5783517454
"617",82838.6219360056
"618",99370.4212190683
"619",88574.8694393741
"620",96611.414933835
"621",100749.734489422
"622",98240.5197689154
"623",98240.5197689154
"624",98240.5197689154
"625",98240.5197689154
"626",88402.6379187076
"627",91522.5019751642
"628",92690.0315325661
"629",94765.0588167986
"630",90399.7612323076
"631",95426.8832666814
"632",76054.6742658206
"633",75324.3105074665
"634",96750.1894087534
"635",78368.0111091141
"636",80718.0098447007
"637",89788.1133581452
"638",87023.903804355
"639",77107.9884993879
"640",94537.7072099429
"641",87727.1101957233
"642",98592.4905541223
"643",94674.0651089396
"644",92522.5072183036
"645",92088.0910858648
"646",91999.1845658352
"647",95736.2479348627
"648",91899.2478212816
"649",92010.2940783658
"650",97796.1513968638
"651",97796.1513968638
"652",97796.1513968638
"653",97796.1513968638
"654",97796.1513968638
"655",97796.1513968638
"656",97796.1513968638
"657",97796.1513968638
"658",97796.1513968638
"659",97796.1513968638
"660",97796.1513968638
"661",97796.1513968638
"662",97796.1513968638
"663",97796.1513968638
"664",97796.1513968638
"665",97796.1513968638
"666",97796.1513968638
"667",97796.1513968638
"668",97796.1513968638
"669",97796.1513968638
"670",97796.1513968638
"671",97796.1513968638
"672",97796.1513968638
"673",97796.1513968638
"674",97796.1513968638
"675",97796.1513968638
"676",97796.1513968638
"677",97796.1513968638
"678",97796.1513968638
"679",97796.1513968638
"680",97796.1513968638
"681",97796.1513968638
"682",97796.1513968638
"683",97796.1513968638
"684",90882.7047670846
"685",93610.1781559857
"686",85191.8481931994
"687",91599.9648777149
"688",90827.71984428
"689",88080.4347360133
"690",101156.940198989
"691",93126.7444938622
"692",73453.7590443286
"693",89125.6716443795
"694",74871.8998607848
"695",74871.8998607848
"696",74871.8998607848
"697",93768.0129168682
"698",94220.1571354347
"699",94208.8320560815
"700",97504.6924306493
"701",90366.9090898424
"702",100248.549218419
"703",100797.572035448
"704",75192.1293775379
"705",78494.9247567023
"706",100510.822426435
"707",95541.3682458575
"708",100451.166147996
"709",93182.8536177671
"710",100654.114547012
"711",95896.9786588116
"712",78534.0085734234
"713",72982.8390940358
"714",100630.221046977
"715",99063.37258979
"716",88048.2667886733
"717",89017.4532136699
"718",92857.8013718842
"719",91213.1806038878
"720",85967.1422102621
"721",95403.9996063353
"722",94027.7806385598
"723",94027.7806385598
"724",99358.5974246821
"725",99986.8304418478
"726",99986.8304418478
"727",75485.0690465292
"728",75485.0690465292
"729",89973.4368456345
"730",86896.5398880162
"731",88391.8824592961
"732",86103.9305692072
"733",93768.0129168682
"734",100570.507389245
"735",100570.507389245
"736",100570.507389245
"737",86114.4600460988
"738",98698.2806618115
"739",98698.2806618115
"740",98698.2806618115
"741",87108.8970259876
"742",87108.8970259876
"743",90115.3636890975
"744",92936.1780651217
"745",91069.8551497513
"746",90268.410660483
"747",101252.946709582
"748",100379.61646239
"749",88715.0075245256
"750",96472.8016804352
"751",96380.4823415641
"752",100284.281079458
"753",86854.118806563
"754",74010.9294203336
"755",94651.3277399489
"756",100965.148306617
"757",100965.148306617
"758",100965.148306617
"759",100965.148306617
"760",96265.1837771829
"761",95805.1057984025
"762",99856.1786849807
"763",99856.1786849807
"764",99856.1786849807
"765",100869.362838221
"766",100869.362838221
"767",100869.362838221
"768",100869.362838221
"769",95736.2479348627
"770",95736.2479348627
"771",95736.2479348627
"772",95736.2479348627
"773",97877.8861962012
"774",95885.4906515259
"775",78143.8786288305
"776",90213.7268861728
"777",83196.40194992
"778",101025.051615622
"779",86769.3269492046
"780",98768.8584496134
"781",90082.5952618613
"782",81259.0626750153
"783",93520.0834954304
"784",89060.7278106607
"785",98428.1106773137
"786",95575.735417829
"787",96912.2969202448
"788",91036.8059562406
"789",88499.4847483584
"790",84515.5263865666
"791",87908.9822548728
"792",69550.4281959188
"793",79941.6423294509
"794",74066.8341413803
"795",101264.952709287
"796",101264.952709287
"797",96912.2969202448
"798",96912.2969202448
"799",96912.2969202448
"800",88725.7948089385
"801",99642.6831049169
"802",98392.9153068337
"803",98392.9153068337
"804",95038.4649247104
"805",95038.4649247104
"806",95038.4649247104
"807",95038.4649247104
"808",95038.4649247104
"809",95038.4649247104
"810",95038.4649247104
"811",95038.4649247104
"812",95038.4649247104
"813",95038.4649247104
"814",95038.4649247104
"815",95038.4649247104
"816",95038.4649247104
"817",95038.4649247104
"818",95038.4649247104
"819",95038.4649247104
"820",100977.12666691
"821",90115.3636890975
"822",86367.4804531001
"823",92288.3851369156
"824",76694.8413852214
"825",76694.8413852214
"826",86917.7567191557
"827",93126.7444938622
"828",82767.2156638929
"829",88725.7948089385
"830",88607.1930767934
"831",97574.5783517454
"832",97574.5783517454
"833",97574.5783517454
"834",88316.6239076004
"835",100331.939602048
"836",87279.0851178512
"837",97679.4832774207
"838",90838.7146733401
"839",99749.3846446464
"840",99749.3846446464
"841",99749.3846446464
"842",99749.3846446464
"843",99749.3846446464
"844",99749.3846446464
"845",99749.3846446464
"846",99749.3846446464
"847",99749.3846446464
"848",99749.3846446464
"849",99749.3846446464
"850",99749.3846446464
"851",99749.3846446464
"852",99749.3846446464
"853",100881.331996203
"854",91710.718250646
"855",95587.1933659973
"856",86167.123071132
"857",84733.5531951759
"858",94401.5083800057
"859",101180.934913316
"860",100833.462263387
"861",100558.568101427
"862",96842.795363694
"863",96842.795363694
"864",98851.2508465488
"865",91777.2223043896
"866",83053.1401070536
"867",87225.8724433574
"868",96219.0956350575
"869",90739.7999982094
"870",95015.6567162122
"871",94935.8628873668
"872",94935.8628873668
"873",94913.0746195211
"874",94913.0746195211
"875",83658.2423218279
"876",95209.6678380262
"877",99299.495539211
"878",99299.495539211
"879",99299.495539211
"880",99299.495539211
"881",99299.495539211
"882",99299.495539211
"883",99299.495539211
"884",99299.495539211
"885",99299.495539211
"886",99299.495539211
"887",99299.495539211
"888",99299.495539211
"889",99299.495539211
"890",99299.495539211
"891",99773.1086575712
"892",100391.538543382
"893",89082.3714961616
"894",92065.8579365195
"895",98416.3777546764
"896",77406.9551648338
"897",73713.3476484193
"898",96657.6551715587
"899",100510.822426435
"900",98381.1857814611
"901",91710.718250646
"902",78759.0464354072
"903",87866.1613875502
"904",93306.3900482597
"905",95392.5594425619
"906",91069.8551497513
"907",86462.5181547265
"908",90608.0494492906
"909",100153.314652319
"910",100153.314652319
"911",100153.314652319
"912",100153.314652319
"913",100153.314652319
"914",100153.314652319
"915",100153.314652319
"916",100153.314652319
"917",100153.314652319
"918",100153.314652319
"919",100153.314652319
"920",94924.4681997222
"921",101120.956766823
"922",91268.3543877146
"923",99915.5486993604
"924",83053.1401070536
"925",99039.7853223701
"926",99039.7853223701
"927",101013.068652144
"928",90805.7334188453
"929",87577.5620824888
"930",98428.1106773137
"931",90312.1770019708
"932",98568.9941148122
"933",98568.9941148122
"934",98568.9941148122
"935",98568.9941148122
"936",98568.9941148122
"937",98568.9941148122
"938",98568.9941148122
"939",94662.6958716689
"940",100141.415484244
"941",77445.5997796403
"942",97504.6924306493
"943",97446.4851286966
"944",91810.4889716323
"945",86325.2686349283
"946",90454.5362929747
"947",99915.5486993604
"948",99915.5486993604
"949",99915.5486993604
"950",99915.5486993604
"951",99915.5486993604
"952",99915.5486993604
"953",99915.5486993604
"954",99915.5486993604
"955",99915.5486993604
"956",99915.5486993604
"957",99915.5486993604
"958",99915.5486993604
"959",99915.5486993604
"960",99915.5486993604
"961",99915.5486993604
"962",99915.5486993604
"963",99915.5486993604
"964",99915.5486993604
"965",99915.5486993604
"966",99915.5486993604
"967",99915.5486993604
"968",99915.5486993604
"969",99915.5486993604
"970",99915.5486993604
"971",99915.5486993604
"972",99915.5486993604
"973",99915.5486993604
"974",99915.5486993604
"975",99915.5486993604
"976",99915.5486993604
"977",99915.5486993604
"978",99915.5486993604
"979",99915.5486993604
"980",84277.2565597275
"981",100451.166147996
"982",84008.5633331922
"983",95896.9786588116
"984",91367.7352973253
"985",95931.4493677474
"986",99004.4129481076
"987",86843.5161567427
"988",96426.6330648646
"989",93205.3049304465
"990",90093.5169987285
"991",89277.3563912359
"992",68023.008184062
"993",76235.7730023019
"994",90213.7268861728
"995",98733.564449271
"996",96518.9881935822
"997",NA
"998",96611.414933835
"999",84827.1325622139
"1000",89733.6653140018
"1001",89733.6653140018
"1002",89733.6653140018
"1003",89733.6653140018
"1004",89733.6653140018
"1005",89733.6653140018
"1006",97971.3651168772
"1007",90476.4538405854
"1008",99642.6831049169
"1009",99642.6831049169
"1010",92388.6643601425
"1011",81510.5425738707
"1012",82126.7991841717
"1013",95403.9996063353
"1014",79783.1373748629
"1015",90520.3018365166
"1016",98076.6152985381
"1017",99334.9532534535
"1018",93914.7666476363
"1019",90509.3382247434
"1020",90169.9991824793
"1021",94412.8522104117
"1022",87876.8650206518
"1023",92712.3866525787
"1024",88144.7991794234
"1025",80578.2141527448
"1026",90882.7047670846
"1027",99868.0504020401
"1028",101264.952709287
"1029",101264.952709287
"1030",101264.952709287
"1031",101264.952709287
"1032",90904.7062815907
"1033",99512.3956406002
"1034",76054.6742658206
"1035",89244.8349328071
"1036",94367.4835104197
"1037",86642.2648509685
"1038",95278.2188864838
"1039",100046.263343961
"1040",95038.4649247104
"1041",101300.977624937
"1042",89951.6180205553
"1043",83053.1401070536
"1044",91113.9358526201
"1045",96530.5376189871
"1046",93745.4519103293
"1047",98957.2656957217
"1048",98957.2656957217
"1049",96750.1894087534
"1050",90915.7086560351
"1051",98721.8020521314
"1052",86652.8476012232
"1053",87834.0568220468
"1054",93610.1781559857
"1055",89777.2216097745
"1056",74712.1997338791
"1057",90673.9053475054
"1058",92578.3213928076
"1059",93182.8536177671
"1060",90180.9294990787
"1061",89212.3230676313
"1062",78494.9247567023
"1063",88488.7197489988
"1064",96299.7616131072
"1065",90421.6680326875
"1066",86188.1955815546
"1067",89342.4280965137
"1068",93037.0268003938
"1069",100929.220128908
"1070",100929.220128908
"1071",100929.220128908
"1072",100929.220128908
"1073",100929.220128908
"1074",100929.220128908
"1075",100929.220128908
"1076",100929.220128908
"1077",100929.220128908
"1078",100929.220128908
"1079",100929.220128908
"1080",100929.220128908
"1081",100929.220128908
"1082",100929.220128908
"1083",100929.220128908
"1084",100929.220128908
"1085",100929.220128908
"1086",100929.220128908
"1087",100929.220128908
"1088",100929.220128908
"1089",100929.220128908
"1090",100929.220128908
"1091",100929.220128908
"1092",100929.220128908
"1093",100929.220128908
"1094",100929.220128908
"1095",100929.220128908
"1096",100929.220128908
"1097",100929.220128908
"1098",100929.220128908
"1099",100929.220128908
"1100",100929.220128908
"1101",100929.220128908
"1102",100929.220128908
"1103",100929.220128908
"1104",100929.220128908
"1105",100929.220128908
"1106",100929.220128908
"1107",100929.220128908
"1108",100929.220128908
"1109",100929.220128908
"1110",100929.220128908
"1111",100929.220128908
"1112",100929.220128908
"1113",100929.220128908
"1114",100929.220128908
"1115",100929.220128908
"1116",100929.220128908
"1117",100929.220128908
"1118",100929.220128908
"1119",100929.220128908
"1120",100929.220128908
"1121",100929.220128908
"1122",100929.220128908
"1123",100929.220128908
"1124",100929.220128908
"1125",100929.220128908
"1126",100929.220128908
"1127",100929.220128908
"1128",100929.220128908
"1129",100929.220128908
"1130",100929.220128908
"1131",100929.220128908
"1132",100929.220128908
"1133",100929.220128908
"1134",100929.220128908
"1135",100929.220128908
"1136",100929.220128908
"1137",100929.220128908
"1138",100929.220128908
"1139",100929.220128908
"1140",100929.220128908
"1141",100929.220128908
"1142",100929.220128908
"1143",100929.220128908
"1144",100929.220128908
"1145",100929.220128908
"1146",100929.220128908
"1147",100929.220128908
"1148",100929.220128908
"1149",100929.220128908
"1150",100929.220128908
"1151",100929.220128908
"1152",100929.220128908
"1153",100929.220128908
"1154",100929.220128908
"1155",100929.220128908
"1156",100929.220128908
"1157",100929.220128908
"1158",100929.220128908
"1159",100929.220128908
"1160",100929.220128908
"1161",100929.220128908
"1162",100929.220128908
"1163",100929.220128908
"1164",100929.220128908
"1165",100929.220128908
"1166",100929.220128908
"1167",100929.220128908
"1168",100929.220128908
"1169",100929.220128908
"1170",100929.220128908
"1171",100929.220128908
"1172",100929.220128908
"1173",100929.220128908
"1174",100929.220128908
"1175",100929.220128908
"1176",100929.220128908
"1177",100929.220128908
"1178",100929.220128908
"1179",100929.220128908
"1180",100929.220128908
"1181",100929.220128908
"1182",100929.220128908
"1183",100929.220128908
"1184",100929.220128908
"1185",100929.220128908
"1186",100929.220128908
"1187",100929.220128908
"1188",100929.220128908
"1189",100929.220128908
"1190",100929.220128908
"1191",100929.220128908
"1192",100929.220128908
"1193",100929.220128908
"1194",100929.220128908
"1195",100929.220128908
"1196",100929.220128908
"1197",100929.220128908
"1198",100929.220128908
"1199",100929.220128908
"1200",100929.220128908
"1201",100929.220128908
"1202",100929.220128908
"1203",100929.220128908
"1204",100929.220128908
"1205",100929.220128908
"1206",100929.220128908
"1207",100929.220128908
"1208",100929.220128908
"1209",100929.220128908
"1210",100929.220128908
"1211",100929.220128908
"1212",100929.220128908
"1213",100929.220128908
"1214",100929.220128908
"1215",100929.220128908
"1216",100929.220128908
"1217",100929.220128908
"1218",100929.220128908
"1219",100929.220128908
"1220",100929.220128908
"1221",100929.220128908
"1222",100929.220128908
"1223",100929.220128908
"1224",100929.220128908
"1225",100929.220128908
"1226",100929.220128908
"1227",100929.220128908
"1228",100929.220128908
"1229",100929.220128908
"1230",100929.220128908
"1231",100929.220128908
"1232",100929.220128908
"1233",100929.220128908
"1234",100929.220128908
"1235",100929.220128908
"1236",100929.220128908
"1237",100929.220128908
"1238",100929.220128908
"1239",100929.220128908
"1240",100929.220128908
"1241",100929.220128908
"1242",100929.220128908
"1243",100929.220128908
"1244",100929.220128908
"1245",100929.220128908
"1246",100929.220128908
"1247",100929.220128908
"1248",100929.220128908
"1249",100929.220128908
"1250",100929.220128908
"1251",100929.220128908
"1252",100929.220128908
"1253",100929.220128908
"1254",100929.220128908
"1255",100929.220128908
"1256",100929.220128908
"1257",100929.220128908
"1258",100929.220128908
"1259",100929.220128908
"1260",100929.220128908
"1261",100929.220128908
"1262",100929.220128908
"1263",100929.220128908
"1264",100929.220128908
"1265",100929.220128908
"1266",100929.220128908
"1267",100929.220128908
"1268",100929.220128908
"1269",100929.220128908
"1270",100929.220128908
"1271",100929.220128908
"1272",100929.220128908
"1273",100929.220128908
"1274",100929.220128908
"1275",100929.220128908
"1276",100929.220128908
"1277",100929.220128908
"1278",100929.220128908
"1279",100929.220128908
"1280",100929.220128908
"1281",100929.220128908
"1282",100929.220128908
"1283",100929.220128908
"1284",100929.220128908
"1285",100929.220128908
"1286",100929.220128908
"1287",100929.220128908
"1288",100929.220128908
"1289",100929.220128908
"1290",100929.220128908
"1291",100929.220128908
"1292",100929.220128908
"1293",100929.220128908
